,City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Clouds,Wind
90,Qaanaaq,77.484,-69.3632,36.54,36.54,64,88,8.34
91,Hasaki,35.7333,140.8333,93.6,95.29,68,0,13.31
92,Juruti,-2.1522,-56.0922,74.21,74.21,69,3,2.77
93,Airai,-8.9266,125.4092,63.97,63.97,78,94,2.46
94,Kalininsk,51.5,44.4758,87.19,87.19,21,100,13.49
95,Korem,12.5058,39.5228,67.03,67.03,51,82,7.05
96,Atar,20.5169,-13.0499,82.27,82.27,31,52,12.62
97,Kawalu,-7.3817,108.2082,79.79,79.79,73,98,6.58
98,Butaritari,3.0707,172.7902,82.98,82.98,69,56,10.09
99,Ilulissat,69.2167,-51.1,46.42,46.42,53,40,18.41
100,Cherskiy,68.75,161.3,52.36,52.36,62,6,14.34
101,Husavik,66.0449,-17.3389,46.31,46.31,68,49,1.86
102,Kapaa,22.0752,-159.319,75.79,80.92,74,40,12.66
103,Lebu,-37.6167,-73.65,45.12,45.12,83,8,16.73
104,Khatanga,71.9667,102.5,70.56,70.56,43,100,5.57
105,The Pas,53.8251,-101.2541,57.22,57.22,100,1,5.88
106,San Patricio,28.017,-97.5169,82.72,84.85,78,0,12.26
107,Mossamedes,-15.1961,12.1522,71.83,71.83,78,87,10.0
108,Concepción,-36.827,-73.0498,39.0,39.0,93,75,6.91
109,Matamoros,25.5333,-103.25,80.11,80.11,50,90,9.55
110,Lüderitz,-26.6481,15.1594,67.44,67.44,40,0,12.86
111,Zacualtipán,20.65,-98.6,57.43,57.43,96,59,1.28
112,Sjenica,43.2731,19.9994,80.11,80.11,38,0,3.53
113,George Town,5.4112,100.3354,84.69,87.73,78,40,1.99
114,Zhigansk,66.7697,123.3711,72.52,72.52,50,100,18.3
115,Nchelenge,-9.3451,28.734,74.73,74.73,32,0,5.23
116,Samarai,-10.6167,150.6667,77.81,77.81,86,18,16.93
117,Yangi Marg`ilon,40.4272,71.7189,90.32,90.32,14,0,9.22
118,Bom Jesus,-9.0744,-44.3586,70.61,70.61,57,88,3.29
119,Aklavik,68.2191,-135.0107,45.43,45.43,86,68,5.28
120,Jām Sāhib,26.2958,68.6292,102.94,102.94,32,3,16.06
121,Marrakesh,31.6315,-8.0083,62.67,62.67,88,20,8.05
122,Doha,25.2867,51.5333,101.43,106.11,47,0,11.5
123,Tubualá,9.5167,-79.0333,75.31,78.33,80,100,12.01
124,Chui,-33.6971,-53.4616,50.72,50.72,94,100,11.01
125,Buraidah,26.326,43.975,100.85,100.85,7,0,9.19
126,Kalmunai,7.4167,81.8167,89.17,89.17,57,100,12.39
127,Castro,-24.7911,-50.0119,56.71,56.71,62,2,3.96
128,Loukhi,66.0764,33.0381,62.4,62.4,90,99,6.08
129,Saint-Philippe,-21.3585,55.7679,74.08,76.55,75,16,1.95
130,Netanya,32.3329,34.8599,87.71,88.05,57,0,8.88
131,Iqaluit,63.7506,-68.5145,44.33,44.33,76,75,10.36
132,Barão de Melgaço,-16.1944,-55.9675,75.72,75.72,42,94,3.31
133,Labuhan,-6.8844,112.2051,89.04,89.04,52,94,10.87
134,Fare,-16.7,-151.0167,79.12,79.12,76,7,16.24
